"Timestamp","What is your age?","What is your favorite shade of denim to WEAR?","What state do you currently live in? (where you usually live/work/pay rent etc)"
"2020/10/24 2:52:17 PM AST","18-22","Option 7","Michigan"
"2020/10/24 2:52:18 PM AST","23-29","Option 6","Michigan"
"2020/10/24 2:58:21 PM AST","23-29","Option 4","Michigan"
"2020/10/24 3:01:32 PM AST","23-29","Option 7","Michigan"
"2020/10/24 3:04:22 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:04:25 PM AST","23-29","Option 6","Michigan"
"2020/10/24 3:06:27 PM AST","23-29","Option 7","Michigan"
"2020/10/24 3:06:38 PM AST","50-59","Option 4","Outside of United States"
"2020/10/24 3:08:50 PM AST","23-29","Option 6","Michigan"
"2020/10/24 3:10:44 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:10:53 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:18:43 PM AST","18-22","Option 8","Outside of United States"
"2020/10/24 3:19:22 PM AST","18-22","Option 1","Michigan"
"2020/10/24 3:19:27 PM AST","23-29","Option 6","Outside of United States"
"2020/10/24 3:22:03 PM AST","18-22","Option 7","Outside of United States"
"2020/10/24 3:24:36 PM AST","30-39","Option 2","Washington"
"2020/10/24 3:27:18 PM AST","18-22","Option 8","Outside of United States"
"2020/10/24 3:30:14 PM AST","23-29","Option 7","Outside of United States"
"2020/10/24 3:30:22 PM AST","23-29","Option 7","Kentucky"
"2020/10/24 3:31:54 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:32:11 PM AST","18-22","Option 5","Michigan"
"2020/10/24 3:34:55 PM AST","23-29","Option 8","Michigan"
"2020/10/24 3:38:02 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:39:53 PM AST","23-29","Option 6","Michigan"
"2020/10/24 3:40:13 PM AST","18-22","Option 7","Michigan"
"2020/10/24 3:40:37 PM AST","23-29","Option 8","Virginia"
"2020/10/24 3:45:09 PM AST","23-29","Option 7","Washington"
"2020/10/24 3:46:58 PM AST","30-39","Option 7","New Jersey"
"2020/10/24 3:48:00 PM AST","23-29","Option 7","Michigan"
"2020/10/24 3:50:25 PM AST","23-29","Option 1","Michigan"
"2020/10/24 3:51:50 PM AST","18-22","Option 6","Michigan"
"2020/10/24 3:56:30 PM AST","18-22","Option 5","Michigan"
"2020/10/24 4:00:14 PM AST","40-49","Option 6","Texas"
"2020/10/24 4:00:16 PM AST","23-29","Option 2","Michigan"
"2020/10/24 4:04:54 PM AST","18-22","Option 8","Michigan"
"2020/10/24 4:05:07 PM AST","18-22","Option 5","Michigan"
"2020/10/24 4:06:51 PM AST","30-39","Option 8","Outside of United States"
"2020/10/24 4:08:21 PM AST","30-39","Option 4","Outside of United States"
"2020/10/24 4:12:55 PM AST","30-39","Option 7","New Jersey"
"2020/10/24 4:17:46 PM AST","14-17","Option 3","Indiana"
"2020/10/24 4:19:10 PM AST","30-39","Option 8","Outside of United States"
"2020/10/24 4:22:45 PM AST","23-29","Option 8","Outside of United States"
"2020/10/24 4:24:19 PM AST","23-29","Option 6","Illinois"
"2020/10/24 4:26:35 PM AST","18-22","Option 3","New York"
"2020/10/24 4:29:30 PM AST","30-39","Option 7","Outside of United States"
"2020/10/24 4:32:20 PM AST","23-29","Option 8","Utah"
"2020/10/24 4:32:23 PM AST","23-29","Option 8","Utah"
"2020/10/24 4:32:28 PM AST","23-29","Option 8","Utah"
"2020/10/24 4:32:58 PM AST","23-29","Option 1","Utah"
"2020/10/24 4:39:55 PM AST","14-17","Option 7","Outside of United States"
"2020/10/24 4:42:48 PM AST","18-22","Option 6","Michigan"
"2020/10/24 4:47:25 PM AST","23-29","Option 6","New York"
"2020/10/24 4:49:21 PM AST","18-22","Option 7","Ohio"
"2020/10/24 4:51:27 PM AST","23-29","Option 7","Ohio"
"2020/10/24 4:53:54 PM AST","60-69","Option 4","New Jersey"
"2020/10/24 4:54:51 PM AST","18-22","Option 2","Outside of United States"
"2020/10/24 4:55:34 PM AST","50-59","Option 4","Michigan"
"2020/10/24 4:55:51 PM AST","18-22","Option 6","Michigan"
"2020/10/24 5:04:11 PM AST","18-22","Option 6","Michigan"
"2020/10/24 5:04:51 PM AST","40-49","Option 8","Outside of United States"
"2020/10/24 5:10:25 PM AST","60-69","Option 5","Michigan"
"2020/10/24 5:13:58 PM AST","18-22","Option 8","Michigan"
"2020/10/24 5:14:55 PM AST","23-29","Option 4","Michigan"
"2020/10/24 5:16:06 PM AST","50-59","Option 5","New York"
"2020/10/24 5:16:22 PM AST","30-39","Option 7","New York"
"2020/10/24 5:16:43 PM AST","18-22","Option 1","Pennsylvania"
"2020/10/24 5:16:46 PM AST","18-22","Option 7","Colorado"
"2020/10/24 5:18:32 PM AST","23-29","Option 5","Virginia"
"2020/10/24 5:22:12 PM AST","18-22","Option 8","Michigan"
"2020/10/24 5:26:50 PM AST","18-22","Option 8","Michigan"
"2020/10/24 5:32:45 PM AST","23-29","Option 7","Texas"
"2020/10/24 5:41:45 PM AST","23-29","Option 7","Michigan"
"2020/10/24 5:47:06 PM AST","23-29","Option 7","Michigan"
"2020/10/24 5:47:49 PM AST","18-22","Option 3","Michigan"
"2020/10/24 5:48:13 PM AST","23-29","Option 2","Michigan"
"2020/10/24 5:50:38 PM AST","18-22","Option 8","Michigan"
"2020/10/24 5:51:49 PM AST","50-59","Option 7","New Jersey"
"2020/10/24 5:52:55 PM AST","23-29","Option 6","Missouri"
"2020/10/24 5:57:34 PM AST","18-22","Option 8","New York"
"2020/10/24 5:58:58 PM AST","23-29","Option 1","Texas"
"2020/10/24 5:59:05 PM AST","50-59","Option 5","New Jersey"
"2020/10/24 6:03:19 PM AST","14-17","Option 7","New York"
"2020/10/24 6:09:17 PM AST","50-59","Option 6","North Carolina"
"2020/10/24 6:09:42 PM AST","50-59","Option 2","North Carolina"
"2020/10/24 6:12:42 PM AST","23-29","Option 7","Outside of United States"
"2020/10/24 6:15:32 PM AST","30-39","Option 7","Outside of United States"
"2020/10/24 6:16:39 PM AST","14-17","Option 7","Outside of United States"
"2020/10/24 6:19:41 PM AST","23-29","Option 8","New York"
"2020/10/24 6:19:57 PM AST","18-22","Option 7","Michigan"
"2020/10/24 6:24:23 PM AST","18-22","Option 7","Michigan"
"2020/10/24 6:26:03 PM AST","23-29","Option 8","California"
"2020/10/24 6:27:39 PM AST","14-17","Option 6","Texas"
"2020/10/24 6:35:31 PM AST","23-29","Option 7","Outside of United States"
"2020/10/24 6:37:59 PM AST","23-29","Option 3","Michigan"
"2020/10/24 6:40:45 PM AST","18-22","Option 3","Illinois"
"2020/10/24 6:47:28 PM AST","50-59","Option 6","Michigan"
"2020/10/24 6:56:26 PM AST","23-29","Option 7","Florida"
"2020/10/24 6:59:17 PM AST","23-29","Option 7","Pennsylvania"
"2020/10/24 7:00:24 PM AST","18-22","Option 7","Michigan"
"2020/10/24 7:02:25 PM AST","23-29","Option 8","New York"
"2020/10/24 7:03:52 PM AST","23-29","Option 5","Michigan"
"2020/10/24 7:03:53 PM AST","23-29","Option 8","Michigan"
"2020/10/24 7:04:35 PM AST","23-29","Option 1","Michigan"
"2020/10/24 7:05:05 PM AST","50-59","Option 4","Michigan"
"2020/10/24 7:06:02 PM AST","23-29","Option 8","Outside of United States"
"2020/10/24 7:07:55 PM AST","30-39","Option 2","Washington"
"2020/10/24 7:16:50 PM AST","18-22","Option 3","Michigan"
"2020/10/24 7:24:20 PM AST","50-59","Option 6","North Carolina"
"2020/10/24 7:25:26 PM AST","23-29","Option 4","New Jersey"
"2020/10/24 7:37:21 PM AST","23-29","Option 2","Michigan"
"2020/10/24 7:45:56 PM AST","50-59","Option 6","Michigan"
"2020/10/24 7:54:39 PM AST","23-29","Option 8","Michigan"
"2020/10/24 7:55:29 PM AST","30-39","Option 6","Outside of United States"
"2020/10/24 7:56:11 PM AST","18-22","Option 8","Outside of United States"
"2020/10/24 8:01:09 PM AST","23-29","Option 6","Florida"
"2020/10/24 8:03:32 PM AST","23-29","Option 2","New York"
"2020/10/24 8:06:58 PM AST","23-29","Option 2","California"
"2020/10/24 8:09:19 PM AST","23-29","Option 1","Outside of United States"
"2020/10/24 8:23:45 PM AST","18-22","Option 3","Outside of United States"
"2020/10/24 8:24:32 PM AST","23-29","Option 8","Illinois"
"2020/10/24 8:26:49 PM AST","50-59","Option 3","California"
"2020/10/24 8:31:26 PM AST","18-22","Option 8","New Jersey"
"2020/10/24 8:34:25 PM AST","50-59","Option 6","Michigan"
"2020/10/24 8:37:37 PM AST","40-49","Option 7","Michigan"
"2020/10/24 8:49:57 PM AST","18-22","Option 8","Michigan"
"2020/10/24 8:51:31 PM AST","18-22","Option 4","Michigan"
"2020/10/24 8:55:43 PM AST","60-69","Option 8","Outside of United States"
"2020/10/24 9:07:05 PM AST","18-22","Option 7","Michigan"
"2020/10/24 9:10:10 PM AST","50-59","Option 7","Outside of United States"
"2020/10/24 9:10:39 PM AST","18-22","Option 8","Minnesota"
"2020/10/24 9:13:41 PM AST","50-59","Option 7","Pennsylvania"
"2020/10/24 9:15:21 PM AST","40-49","Option 7","Michigan"
"2020/10/24 9:20:35 PM AST","23-29","Option 7","New York"
"2020/10/24 9:33:34 PM AST","50-59","Option 5","New Jersey"
"2020/10/24 9:34:23 PM AST","23-29","Option 8","Indiana"
"2020/10/24 9:36:16 PM AST","50-59","Option 6","Michigan"
"2020/10/24 9:37:54 PM AST","50-59","Option 7","Michigan"
"2020/10/24 9:39:16 PM AST","50-59","Option 5","Michigan"
"2020/10/24 9:51:09 PM AST","18-22","Option 7","Outside of United States"
"2020/10/24 10:00:54 PM AST","18-22","Option 7","New York"
"2020/10/24 10:13:28 PM AST","23-29","Option 1","Virginia"
"2020/10/24 10:16:36 PM AST","18-22","Option 7","Michigan"
"2020/10/24 10:25:41 PM AST","23-29","Option 8","Michigan"
"2020/10/24 10:30:36 PM AST","50-59","Option 4","Outside of United States"
"2020/10/24 10:33:58 PM AST","70+","Option 7","Michigan"
"2020/10/24 10:37:21 PM AST","60-69","Option 5","Michigan"
"2020/10/24 10:49:03 PM AST","40-49","Option 7","Texas"
"2020/10/24 10:49:59 PM AST","18-22","Option 2","Michigan"
"2020/10/24 10:52:00 PM AST","23-29","Option 7","Michigan"
"2020/10/24 10:53:31 PM AST","18-22","Option 7","Pennsylvania"
"2020/10/24 11:00:32 PM AST","23-29","Option 8","Michigan"
"2020/10/24 11:05:54 PM AST","50-59","Option 5","New York"
"2020/10/24 11:06:01 PM AST","23-29","Option 2","Oregon"
"2020/10/24 11:08:40 PM AST","50-59","Option 5","Outside of United States"
"2020/10/24 11:16:24 PM AST","60-69","Option 4","New Jersey"
"2020/10/24 11:22:17 PM AST","23-29","Option 8","Wisconsin"
"2020/10/24 11:28:43 PM AST","50-59","Option 4","Outside of United States"
"2020/10/24 11:51:37 PM AST","14-17","Option 8","Maryland"
"2020/10/24 11:52:03 PM AST","50-59","Option 6","Michigan"
"2020/10/24 11:54:49 PM AST","30-39","Option 8","Washington"
"2020/10/24 11:57:09 PM AST","70+","Option 8","Outside of United States"
"2020/10/25 12:06:43 AM AST","40-49","Option 7","Michigan"
"2020/10/25 12:13:55 AM AST","30-39","Option 8","New Jersey"
"2020/10/25 12:48:52 AM AST","14-17","Option 8","Connecticut"
"2020/10/25 1:13:47 AM AST","30-39","Option 7","Outside of United States"
"2020/10/25 1:15:05 AM AST","23-29","Option 1","California"
"2020/10/25 1:47:22 AM AST","23-29","Option 7","Outside of United States"
"2020/10/25 1:58:10 AM AST","50-59","Option 7","Outside of United States"
"2020/10/25 2:23:09 AM AST","18-22","Option 6","Outside of United States"
"2020/10/25 2:55:27 AM AST","50-59","Option 7","Outside of United States"
"2020/10/25 3:40:14 AM AST","18-22","Option 4","Outside of United States"
"2020/10/25 3:42:32 AM AST","14-17","Option 1","Outside of United States"
"2020/10/25 3:57:46 AM AST","30-39","Option 7","Outside of United States"
"2020/10/25 4:03:04 AM AST","30-39","Option 1","Outside of United States"
"2020/10/25 4:13:51 AM AST","23-29","Option 8","Outside of United States"
"2020/10/25 4:25:34 AM AST","50-59","Option 1","Outside of United States"
"2020/10/25 5:21:33 AM AST","23-29","Option 8","Outside of United States"
"2020/10/25 5:24:28 AM AST","50-59","Option 4","Outside of United States"
"2020/10/25 5:44:06 AM AST","50-59","Option 2","Outside of United States"
"2020/10/25 6:11:18 AM AST","23-29","Option 8","Outside of United States"
"2020/10/25 6:13:43 AM AST","18-22","Option 8","Outside of United States"
"2020/10/25 6:18:38 AM AST","50-59","Option 3","Michigan"
"2020/10/25 6:23:38 AM AST","30-39","Option 8","Outside of United States"
"2020/10/25 7:43:45 AM AST","14-17","Option 8","Outside of United States"
"2020/10/25 7:48:37 AM AST","14-17","Option 8","Outside of United States"
"2020/10/25 7:55:58 AM AST","23-29","Option 7","Outside of United States"
"2020/10/25 8:18:09 AM AST","18-22","Option 2","Kentucky"
"2020/10/25 8:33:42 AM AST","23-29","Option 8","Outside of United States"
"2020/10/25 8:47:03 AM AST","18-22","Option 2","Tennessee"
"2020/10/25 8:53:23 AM AST","18-22","Option 8","Michigan"
"2020/10/25 8:58:49 AM AST","60-69","Option 6","Michigan"
"2020/10/25 9:14:51 AM AST","50-59","Option 6","California"
"2020/10/25 9:25:43 AM AST","40-49","Option 7","Michigan"
"2020/10/25 9:57:28 AM AST","50-59","Option 8","Georgia"
"2020/10/25 10:06:45 AM AST","23-29","Option 7","Virginia"
"2020/10/25 10:10:52 AM AST","18-22","Option 2","Michigan"
"2020/10/25 10:16:01 AM AST","50-59","Option 7","Michigan"
"2020/10/25 10:20:13 AM AST","14-17","Option 2","Outside of United States"
"2020/10/25 10:39:40 AM AST","50-59","Option 4","Georgia"
"2020/10/25 10:52:09 AM AST","30-39","Option 5","Outside of United States"
"2020/10/25 11:00:42 AM AST","18-22","Option 7","Outside of United States"
"2020/10/25 11:02:23 AM AST","23-29","Option 6","Michigan"
"2020/10/25 11:04:40 AM AST","18-22","Option 2","Michigan"
"2020/10/25 11:16:13 AM AST","50-59","Option 5","New Jersey"
"2020/10/25 11:17:24 AM AST","23-29","Option 7","New York"